@delta,camera_id,suburb,street,offence_location,postcode,last_annual_test,last_annual_test_sortable,camera_type,certificate,site_type,reason,link,latitude,longitude,intersects_with,expiry_date,lga,commissioned_date,description,network,status,DJCS Comments,location
0,A00,Fitzroy North,Alexandra Parade,"Alexandra Parade, at the intersection of Alexandra Parade and Smith Street, Fitzroy North",3068,16/01/2026,16/01/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-02/A00-fitzroy-north-intersection-of-alexandra-parade-and-smith-street-camera-cert-160126.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.793722,144.985021,Smith Street,16/01/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.793722,144.985021"
3,A06,Wantirna,Boronia Road,"Boronia Road, at the intersection of Boronia Road and Wantirna Road, Wantirna",3152,29/01/2026,29/01/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-02/A06-wantirna-intersection-of-boronia-road-and-wantirna-road-camera-cert-290126-.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.847742,145.227402,Wantirna Road,29/01/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.847742,145.227402"
15,A23,Cheltenham,Park Road,"Park Road, at the intersection of Park Road and Charman Road, Cheltenham",3192,7/08/2026,7/08/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-09/A23-cheltenham-intersection-of-park-road-and-charman-road-camera-cert-070826.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.965441,145.055824,Charman Road,7/08/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.965441,145.055824"
18,A37,Yarraville,Somerville Road,"Somerville Road, at the intersection of Somerville Road and Geelong Road, Yarraville",3013,11/03/2026,11/03/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-04/A37-yarraville-intersection-of-somerville-road-and-geelong-road-camera-cert-110326.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.8112821,144.8699263,Geelong Road,11/03/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.8112821,144.8699263"
27,A50,Collingwood,Johnston Street,"Johnston Street, at the intersection of Johnston Street and Wellington Street, Collingwood",3066,10/08/2026,12/08/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-09/A50-collingwood-intersection-of-johnston-street-and-wellington-street-camera-cert-100826.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.7992148,144.9872066,Wellington Street,10/08/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,Coming up,"-37.7992148,144.9872066"
29,A55,Norlane,The Boulevard,"The Boulevard, at the intersection of The Boulevard and Melbourne Road, Norlane",3214,2/09/2025,2/09/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-09/A55-the-boulevard-intersection-of-the-boulevard-and-melbourne-road-norlane-camera-cert-020925.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-38.0987405,144.3547511,Melbourne Road,2/09/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-38.0987405,144.3547511"
31,A57,Wantirna,Mountain Highway,"Mountain Highway, at the intersection of Mountain Highway and Wantirna Road, Wantirna",3152,22/09/2025,22/09/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-12/A57-wantirna-mountain-highway-intersection-of-mountain-highway-and-wantirna-road-camera-cert-220925.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.8489151,145.2271047,Wantirna Road,22/09/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.8489151,145.2271047"
33,A60,Armadale,Dandenong Road,"Dandenong Road, at the intersection of Dandenong Road and Kooyong Road, Armadale",3143,20/03/2026,20/03/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-05/A60-amadale-intersection-of-kooyong-road-and-dandenong-road-camera-cert-200326.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.862464,145.019342,Kooyong Road,20/03/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.862464,145.019342"
45,B01,West Melbourne,King Street,"King Street, at the intersection of King Street and Hawke Street, West Melbourne",3003,19/11/2025,19/11/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-12/B01-west-melbourne-king-street-intersection-of-king-street-and-hawke-street-camera-cert-191125.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.805611,144.948809,Hawke Street,19/11/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.805611,144.948809"
47,B10,Box Hill,Whitehorse Road,"Whitehorse Road, at the intersection of Whitehorse Road and Elgar Road, Box Hill",3128,27/01/2026,27/01/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-02/B10-box-hill-intersection-of-whitehorse-road-and-elgar-road-camera-cert-270126.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.816986,145.115216,Elgar Road,27/01/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.816986,145.115216"
51,B20,Brighton East,Thomas Street,"Thomas Street, at the intersection of Thomas Street and North Road, Brighton East",3187,2/02/2026,2/02/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-02/B20-brighton-east-intersection-of-thomas-street-and-north-road-camera-cert-020226.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.902339,145.025924,North Road,2/02/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.902339,145.025924"
67,C13,East Melbourne,Nicholson Street,"Nicholson Street, at the intersection of Nicholson Street and Albert Street, East Melbourne",3002,23/07/2026,23/07/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-08/C13_east_melbourne_nicholson_street_intersection_of_nicholson_street_and-albert_street_camera_cert_240725.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.8093999,144.972828,Albert Street,23/07/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.8093999,144.972828"
69,C15,Blackburn,Whitehorse Road,"Whitehorse Road, at the intersection of Whitehorse Road and Surrey Road, Blackburn",3130,3/03/2026,3/03/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-03/C15-blackburn-intersection-of-whitehorse-road-and-surrey-road-camera-cert-030326.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.81768,145.15608,Surrey Road,3/03/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,GBU Upgrade,"-37.81768,145.15608"
71,C17,Burwood East,Blackburn Road,"Blackburn Road, at the intersection of Blackburn Road and Burwood Highway, Burwood East",3151,10/11/2025,10/11/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-11/C17-blackburn-road-intersection-of-blackburn-road-and-burwood-highway-burwood-east-camera-cert-101125.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.852394,145.152098,Burwood Highway,10/11/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.852394,145.152098"
74,C21,West Melbourne,LaTrobe Street,"LaTrobe Street, at the intersection of LaTrobe Street and Spencer Street, West Melbourne",3003,2/10/2025,2/10/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-10/C21-west-melbourne-latrobe-street-intersection-of-latrobe-street-and-spencer-street-camera-cert-021025.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.813172,144.951185,Spencer Street,2/10/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.813172,144.951185"
80,C35,Maidstone,Ashley Street,"Ashley Street, at the intersection of Ashley Street and Churchill Avenue, Maidstone",3012,13/11/2025,13/11/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-11/C35-maidstone-ashley-street-intersection-of-ashley-street-and-churchill-avenue-camera-cert-131125.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.786451,144.864494,Churchill Avenue,13/11/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.786451,144.864494"
81,CBA,Southbank,Burnley Tunnel,"Burnley Tunnel, Southbank, approximately 430 metres after the tunnel entrance",3006,30/01/2026,30/01/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-02/CBA-southbank-burnley-camera-cert-300126.pdf,Highway,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.8247008,144.9717236,approximately 430 metres after the tunnel entrance,30/01/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.8247008,144.9717236"
82,CBC,Cremorne,Burnley Tunnel,"Burnley Tunnel, Cremorne, approximately 2140 metres after the tunnel entrance",3121,30/01/2026,30/01/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-02/CBC-cremorne-burnley-camera-cert-300126.pdf,Highway,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.8260567,144.994297,approximately 2140 metres after the tunnel entrance,30/01/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.8260567,144.994297"
84,CDB,Southbank,Domain Tunnel,"Domain Tunnel, Southbank, approximately 1195 metres after the tunnel entrance ",3006,3/02/2026,3/02/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-02/CDB-southbank-domain-camera-cert-030226.pdf,Highway,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.8251414,144.9711657,approximately 1195 metres after the tunnel entrance ,3/02/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.8251414,144.9711657"
90,D07,Melbourne,Punt Road,"Punt Road, at the intersection of Punt Road and Commercial Road, Melbourne",3000,3/09/2025,3/09/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-05/D07-melbourne-intersection-of-punt-rd-commercial-rd-camera-cert-030925.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.845816,144.98496,Commercial Road,3/09/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.845816,144.98496"
96,D14,Cranbourne North,South Gippsland Highway,"South Gippsland Highway, at the intersection of South Gippsland Highway and Thompsons Road, Cranbourne North",3977,17/03/2026,17/03/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-04/D14KM-cranbourne-north-intersection-of-south-gippsland-hwy-and-thompsons-rd-camera-cert-170326.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-38.082092,145.276518,Thompsons Road,17/03/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-38.082092,145.276518"
100,D18,Lake Gardens,Sturt Street,"Sturt Street, at the intersection of Sturt Street and Gillies Street, Lake Gardens",3355,6/01/2026,6/01/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-01/D18-lake-gardens-intersection-of-sturt-st-and-gillies-st-camera-cert-060126.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.555634,143.818863,Gillies Street,6/01/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.555634,143.818863"
102,D20,Mildura,Fifteenth Street,"Fifteenth Street, at the intersection of Fifteenth Street and San Mateo Avenue, Mildura",3500,1/12/2025,1/12/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-12/D20-mildura-fifteenth-street-intersection-of-fifteenth-street-and-san-mateo-ave-camera-cert-011225.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-34.210806,142.141282,San Mateo Avenue,1/12/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-34.210806,142.141282"
109,D26W,Doveton,Heatherton Road,"Heatherton Road, at the intersection of Heatherton Road and Monash Freeway, Doveton",3177,24/08/2026,24/08/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-09/D26W-doveton-intersection-of-heatherton-rd-and-monash-fwy-camera-cert-24082026.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.972529,145.23677,Monash Freeway,24/08/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.972529,145.23677"
111,D28,Melbourne,Olympic Boulevard,"Olympic Boulevard, at the intersection of Olympic Boulevard and Batman Avenue, Melbourne",3000,31/07/2026,30/07/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-09/D28-melbourne-intersection-of-swan-st-and-batman-ave-camera-cert-310726.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.8234,144.978863,Batman Avenue,31/07/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.8234,144.978863"
115,D32,Taylors Lakes,Kings Road,"Kings Road, at the intersection of Kings Road and Melton Highway, Taylors Lakes",3038,27/10/2025,27/10/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-11/D32-taylors-lakes-intersection-of-kings-road-and-melton-highway-camera-cert-271025.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.697554,144.781111,Melton Highway,27/10/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.697554,144.781111"
123,D39,Thomastown,Mahoneys Road,"Mahoneys Road, at the intersection of Mahoneys Road and High Street, Thomastown",3074,22/09/2025,22/09/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-12/D39-intersection-of-mahoneys-rd-and-high-st-thomastown-camera-cert-220925.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.694746,145.011194,High Street,22/09/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.694746,145.011194"
135,D47S,Bundoora,Plenty Road,"Plenty Road, at the intersection of Plenty Road and Kingsbury Drive, Bundoora",3083,4/12/2025,4/12/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-12/D47S-intersection-of-plenty-rd-and-kingsbury-dr-bundoora-camera-cert-041225.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.716896,145.043192,Kingsbury Drive,4/12/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.716896,145.043192"
137,D49,West Melbourne,King Street,"King Street, at the intersection of King Street and Latrobe Street, West Melbourne",3000,2/07/2026,2/07/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-07/D49-west-melbourne-southbound-intersection-king-street-and-la-trobe-street-camera-cert-020726.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.812296,144.953907,Latrobe Street,2/07/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.812296,144.953907"
139,D50S,Heidelberg,Rosanna Road,"Rosanna Road, at the intersection of Rosanna Road and Darebin Street, Heidelberg",3084,24/03/2026,24/03/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-04/D50S-heidelberg-intersection-of-rosanna-road-and-darebin-street-southbound-camera-cert-240326.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.754495,145.070067,Darebin Street,24/03/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.754495,145.070067"
149,D61,Keysborough,Dandenong Bypass,"Dandenong Bypass, at the intersection of Dandenong Bypass and Perry Road, Keysborough",3173,18/03/2026,18/03/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-04/D61-keysborough-dandenong-bypass-perry-street-camera-cert-180326.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.999003,145.174242,Perry Road,18/03/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.999003,145.174242"
151,D63,Narre Warren,Narre Warren North Road,"Narre Warren North Road, at the intersection of Narre Warren North Road and Princes Highway, Narre Warren",3805,20/11/2025,20/11/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-12/D63KM-narre-warren-narre-warren-north-road-at-the-intersection-of-narre-warren-north-road-and-princes-highway-camera-cert-201125.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-38.026143,145.306872,Princes Highway,20/11/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-38.026143,145.306872"
152,D64,Epping,Cooper Street,"Cooper Street, at the intersection of Cooper Street and Edgards Road, Epping",3076,19/03/2026,19/03/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-04/D64-epping-intersection-of-cooper-street-and-edgards-road-camera-cert-190326.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.64969801,145.0053838,Edgards Road,19/03/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.64969801,145.0053838"
157,D71,Beaufort,Neill Street,"Neill Street, at the intersection of Neill Street and Lawrence Street, Beaufort",3373,6/11/2025,6/11/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2024-12/D71_Beaufort_Neill_Street_Intersection_of_Neill_Street_And_Lawrence_Street_Beaufort_camera_cert_04112024.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.429841,143.383625,Lawrence Street,6/11/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.429841,143.383625"
170,D83,Springvale,Police Road,"Police Road, at the intersection of Police Road and Princes Highway, Springvale",3171,20/01/2026,20/01/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-02/D83-springvale-intersection-of-police-road-and-princes-highway-camera-cert-200126.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.93337568,145.1573821,Princes Highway,20/01/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.93337568,145.1573821"
172,D85,Mulgrave,Princes Highway,"Princes Highway, at the intersection of Princes Highway and Springvale Road, Mulgrave",3170,10/09/2025,10/09/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-09/D85-Princes-Highway-intersection-of-Princes-Highway-and-Springvale-Road-Mulgrave_camera-cert-100925.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.932141,145.155741,Springvale Road,10/09/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.932141,145.155741"
173,D86E,Hillside,Melon Highway,"Melon Highway, at the intersection of Melon Highway and The Parks, Hillside",3037,3/08/2026,3/08/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-08/D86E_hillside_melton_highway_and_the_parks_camera_cert_010825.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.69182059,144.7442507,The Parks,3/08/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.69182059,144.7442507"
185,F04,Box Hill,Canterbury Road,"Canterbury Road, at the intersection of Canterbury Road and Station Street, Box Hill",3128,19/03/2026,19/03/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-04/F04-canterbury-rd-intersection-of-canterbury-rd-and-station-st-box-hill-camera-cert-190326.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.828684,145.121675,Station Street,19/03/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.828684,145.121675"
191,F10,Maidstone,Ballarat Road,"Ballarat Road, at the intersection of Ballarat Road and Churchill Avenue, Maidstone",3275,24/10/2025,24/10/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-11/F10-maidstone-ballarat-road-intersection-of-ballarat-road-camera-cert-241025.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.782965,144.869108,Churchill Avenue,24/10/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.782965,144.869108"
195,F13,Prahran,Punt Road,"Punt Road, at the intersection of Punt Road and High Street, Prahran",3181,17/11/2025,17/11/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-12/F13-prahran-intersection-of-punt-road-and-high-street-camera-cert-171125.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.850546,144.984256,High Street,17/11/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.850546,144.984256"
201,F19,Footscray,Geelong Road,"Geelong Road, at the intersection of Geelong Road and Droop Street, Footscray",3011,11/12/2025,11/12/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-04/F19-footscray-intersection-of-geelong-rd-and-droop-st-camera-cert-111225.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.796514,144.896776,Droop Street,11/12/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.796514,144.896776"
206,F22,Kingsville,Geelong Street,"Geelong Street, at the intersection of Geelong Street and Geelong Road, Kingsville",3012,24/02/2026,24/02/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-03/F22-geelong-st-intersection-of-geelong-st-and-geelong-rd-kingsville-camera-cert-240226.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.804179,144.882887,Geelong Road,24/02/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.804179,144.882887"
213,F27,Cheltenham,Warrigal Road,"Warrigal Road, at the intersection of Warrigal Road and Centre Dandenong Road, Cheltenham",3192,19/02/2026,19/02/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-05/F27-cheltenham-intersection-of-warrigal-road-centre-dandenong-road-camera-cert-190226.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.967516,145.074244,Centre Dandenong Road,19/02/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,Coming up,"-37.967516,145.074244"
