@delta,camera_id,suburb,street,offence_location,postcode,last_annual_test,last_annual_test_sortable,camera_type,certificate,site_type,reason,link,latitude,longitude,intersects_with,expiry_date,lga,commissioned_date,description,network,status,DJCS Comments,location
177,EC,Keysborough,"EastLink, Southbound","EastLink, Southbound, Keysborough, Dandenong Bypass Bridge",3173,16/02/2026,16/02/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-03/EC-keysborough-sb-dandenongbypassbridge-camera-cert-160226.pdf,Highway,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-38.0012481,145.1916111,Dandenong Bypass Bridge,16/02/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-38.0012481,145.1916111"
179,EG,Rowville,"EastLink, Northbound","EastLink, Northbound, Rowville, Wellington Road Bridge",3178,13/02/2026,13/02/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-03/EG-eastlink-rowville-nb-wellingtonroadbridge-camera-cert-130226.pdf,Highway,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.9255643,145.2129292,Wellington Road Bridge,13/02/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.9255643,145.2129292"
180,EH,Keysborough,"EastLink, Northbound","EastLink, Northbound, Keysborough, Dandenong Bypass Bridge",3173,16/02/2026,16/02/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-03/EH-keysborough-nb-dandenongbypassbridge-160226.pdf,Highway,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-38.0012101,145.1911497,Dandenong Bypass Bridge,16/02/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-38.0012101,145.1911497"
181,F01,Camberwell,Prospect Hill Road,"Prospect Hill Road, at the intersection of Prospect Hill Road and Burke Road, Camberwell",3124,28/05/2026,28/05/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-06/F01-camberwell-intersection-of-prospect-hill-rd-and-burke-rd-camera-cert-280526.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.828198,145.057438,Burke Road,28/05/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.828198,145.057438"
184,F03S,Parkville,Royal Parade,"Royal Parade, at the intersection of Royal Parade and Cemetery Road West, Parkville",3052,13/11/2025,13/11/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-11/F03S-west-parkville-intersection-royal-parade-and-cemetery-road-camera-cert-131125.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.789731,144.958952,Cemetery Road West,13/11/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.789731,144.958952"
186,F05,Preston,Bell Street,"Bell Street, at the intersection of Bell Street and St Georges Road, Preston",3072,30/12/2025,30/12/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-01/F05-preston-intersection-of-bell-st-and-st-georges-rd-camera-cert-301225.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.744534,144.997361,St Georges Road,30/12/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.744534,144.997361"
194,F12E,Collingwood,Johnston Street,"Johnston Street, at the intersection of Johnston Street and Hoddle Street, Collingwood",3066,6/11/2025,6/11/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-04/F12E-intersection-johnston-st-and-hoddle-st-collingwood-eastbound-camera-cert-061125.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.799778,144.992744,Hoddle Street,6/11/2026,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.799778,144.992744"
202,F20,Coburg,Munro Street,"Munro Street, at the intersection of Munro Street and Sydney Road, Coburg",3058,3/03/2026,3/03/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-04/F20-coburg-intersection-of-munro-st-and-sydney-rd-camera-cert-030326.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.744944,144.965808,Sydney Road,3/03/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.744944,144.965808"
205,F21W,Altona North,Blackshaws Road,"Blackshaws Road, at the intersection of Blackshaws Road and Millers Road, Altona North",3025,26/11/2025,26/11/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2025-12/F21W-altona-noth-eastbound-intersection-blackshaws-road-and-millers-road-camera-cert-261125.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.831252,144.848449,Millers Road,26/11/2026,,,"40km per hour fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.831252,144.848449"
227,F40,Dandenong,Stud Road,"Stud Road, at the intersection of Stud Road and Heatherton Road, Dandenong",3175,21/01/2026,21/01/2026,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-02/F40-dandenong-intersection-of-stud-rd-and-heatherton-rd-camera-cert-210126.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.971163,145.223382,Heatherton Road,21/01/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.971163,145.223382"
230,F43,Thornbury,St Georges Road,"St Georges Road, at the intersection of St Georges Road and Normanby Avenue, Thornbury",3071,19/08/2026,4/06/2025,Fixed Camera,https://content.vic.gov.au/sites/default/files/2026-09/F43-thornbury-st-georges-rd-and-normanby-ave-camera-cert-190826.pdf,Intersection,Demonstrated accident risk,https://www.vic.gov.au/find-road-safety-camera,-37.758892,144.99312,Normanby Avenue,19/08/2027,,,"Fixed road safety cameras may detect one or more of the following offences: speed, red light, unregistered vehicles. Please note: Due to required performance analysis and administrative checks, up to date camera test/compliance certificates may take up to 3 weeks to upload.",,commissioned,,"-37.758892,144.99312"
